x1,y1,x2,y2,x3,y3,x4,y4
0.0, 0.0, 0.08, 0.02, 0.22, 0.18, 0.29, 0.28
0.29, 0.28, 0.30, 0.36, 0.29, 0.43, 0.30, 0.50
0.30, 0.50, 0.34, 0.60, 0.43, 0.68, 0.50, 0.74
0.50, 0.74, 0.58, 0.79, 0.66, 0.78, 0.76, 0.80
0.76, 0.80, 0.82, 0.88, 0.94, 0.95, 1.00, 1.00
1.00, 1.00, 0.90, 0.97, 0.81, 0.96, 0.76, 0.95
0.76, 0.95, 0.69, 0.96, 0.62, 0.96, 0.55, 0.96
0.55, 0.96, 0.49, 0.90, 0.40, 0.83, 0.35, 0.80
0.35, 0.80, 0.29, 0.76, 0.19, 0.72, 0.14, 0.69
0.14, 0.69, 0.09, 0.65, -0.03, 0.57, -0.05, 0.28
-0.05, 0.28, -0.04, 0.18, -0.02, 0.05, 0.00, 0.00
0.10, 0.15, 0.14, 0.18, 0.18, 0.22, 0.18, 0.25
0.18, 0.25, 0.16, 0.26, 0.14, 0.27, 0.12, 0.27
0.12, 0.27, 0.11, 0.23, 0.11, 0.19, 0.10, 0.15
0.05, 0.18, 0.10, 0.20, 0.08, 0.26, 0.09, 0.30
0.09, 0.30, 0.07, 0.32, 0.06, 0.34, 0.04, 0.33
0.04, 0.33, 0.04, 0.27, 0.04, 0.19, 0.05, 0.18
0.11, 0.30, 0.16, 0.44, 0.24, 0.61, 0.30, 0.66
0.30, 0.66, 0.41, 0.78, 0.62, 0.84, 0.80, 0.92
0.23, 0.20, 0.35, 0.20, 0.44, 0.22, 0.50, 0.25
0.50, 0.25, 0.50, 0.33, 0.50, 0.41, 0.50, 0.49
0.50, 0.49, 0.46, 0.53, 0.42, 0.57, 0.38, 0.61
0.29, 0.29, 0.36, 0.26, 0.43, 0.27, 0.48, 0.31
0.34, 0.39, 0.38, 0.34, 0.44, 0.36, 0.48, 0.37
0.34, 0.49, 0.38, 0.44, 0.41, 0.42, 0.48, 0.43
0.45, 0.58, 0.46, 0.60, 0.47, 0.61, 0.48, 0.61
0.42, 0.61, 0.43, 0.64, 0.46, 0.68, 0.48, 0.67
0.25, 0.74, 0.17, 0.83, 0.08, 0.91, 0.00, 0.99
0.00, 0.99, -0.08, 0.91, -0.17, 0.82, -0.25, 0.74
-0.25, 0.74, -0.20, 0.63, -0.11, 0.53, -0.03, 0.43
-0.17, 0.74, -0.13, 0.66, -0.08, 0.60, -0.01, 0.56
-0.12, 0.79, -0.07, 0.71, -0.02, 0.66, 0.05, 0.60
-0.06, 0.86, -0.03, 0.77, 0.03, 0.72, 0.10, 0.66
-0.02, 0.92, 0.02, 0.84, 0.09, 0.77, 0.16, 0.70
